freq,rx,tx,user,band
6.63,6.63,6.63,ทหารสื่อสาร,HF
6.64,6.64,ไม่มี,วิทยุการบิน,HF
6.659,6.659,6.659,กองทัพอากาศ,HF
6.67,6.67,ไม่มี,ทหารสื่อสาร,HF
6.676,6.676,6.676,กรมอุตุนิยมวิทยา,HF
6.68,6.68,6.68,กองทัพอากาศ,HF
6.697,6.697,6.697,กองทัพอากาศ,HF
6.709,6.709,6.709,กองทัพอากาศ,HF
6.715,6.715,6.715,กองทัพอากาศ,HF
6.721,6.721,6.721,กองทัพอากาศ,HF
6.723,6.723,6.723,กองทัพอากาศ,HF
6.73,6.73,6.73,กองทัพอากาศ,HF
6.736,6.736,6.736,กองทัพอากาศ,HF
6.745,6.745,6.745,กองทัพอากาศ,HF
6.754,6.754,6.754,กองทัพอากาศ,HF
6.757,6.757,6.757,กองทัพอากาศ,HF
6.76,6.76,6.76,กองทัพอากาศ,HF
6.77,6.77,ไม่มี,บริษัท ปตท. จำกัด (มหาชน),HF
6.772,6.772,ไม่มี,องค์การคาธอริครีลีฟเซอร์วิสเซส,HF
6.78,6.78,6.78,กองทัพอากาศ,HF
6.792,6.792,6.792,ตำรวจ,HF
6.805,6.805,ไม่มี,ทหารสื่อสาร,HF
6.81,6.81,ไม่มี,บริษัท การบินไทย จำกัด,HF
6.815,6.815,ไม่มี,สำนักงานโครงการพัฒนาแห่งสหประชาชาติ (UNDP),HF
6.84,6.84,6.84,กองทัพอากาศ,HF
6.845,6.845,ไม่มี,ทหารสื่อสาร,HF
6.855,6.855,6.855,ธนาคารออมสิน,HF
6.88,6.88,ไม่มี,กรมการสื่อสารทหาร,HF
6.9,6.9,6.9,กระทรวงสาธารณสุข,HF
6.91,6.91,ไม่มี,ทหารสื่อสาร,HF
6.92,6.92,6.92,กองทัพอากาศ,HF
6.93,6.93,ไม่มี,ทหารสื่อสาร,HF
6.9315,6.9315,ไม่มี,ทหารสื่อสาร,HF
6.945,6.945,ไม่มี,บริษัท ขนส่ง จำกัด,HF
6.948,6.948,6.948,กองทัพอากาศ,HF
6.9495,6.9495,6.9495,กองทัพอากาศ,HF
6.95,6.95,6.95,ตำรวจ,HF
6.955,6.955,ไม่มี,ทหารสื่อสาร,HF
6.966,6.966,6.966,สำนักข่าวกรองแห่งชาติ,HF
6.98,6.98,6.98,ตำรวจ,HF
6.99,6.99,ไม่มี,ทหารสื่อสาร,HF
6.995,6.995,ไม่มี,ทหารสื่อสาร,HF
7.0,7.0,ไม่มี,วิทยุสมัครเล่นขั้นกลาง,HF
7.244,7.244,ไม่มี,กระทรวงศึกษาธิการ,HF
7.298,7.298,ไม่มี,กระทรวงศึกษาธิการ,HF
7.35,7.35,ไม่มี,ทหารสื่อสาร,HF
7.355,7.355,ไม่มี,กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร,HF
7.36,7.36,ไม่มี,บริษัท การบินไทย จำกัด,HF
7.365,7.365,ไม่มี,กรมประมง,HF
7.385,7.385,7.385,กระทรวงสาธารณสุข,HF
